CCCNC(=O)c1ccccc1N*;S(=O)(=O)(c1ccc(SC)cc1);CCCNC(=O)c1ccccc1NS(=O)(=O)c1ccc(SC)cc1
O=C(OCc1coc(-c2cccs2)n1)*;C(c1c[nH]c2ccccc12);O=C(Cc1c[nH]c2ccccc12)OCc1coc(-c2cccs2)n1
CSc1ccccc1NC(=O)*;C(Oc1ccc(Br)cc1);CSc1ccccc1NC(=O)COc1ccc(Br)cc1
C[C@H]([NH2+]C1CCCCCC1)*;C(Cc1ccc(O)cc1);C[C@@H](CCc1ccc(O)cc1)[NH2+]C1CCCCCC1
Cc1cc(=O)oc2cc(N*)ccc12;C(=O)([C@H](C)NC(=O)C[NH3+]);Cc1cc(=O)oc2cc(NC(=O)[C@H](C)NC(=O)C[NH3+])ccc12
O=C(COC(=O)c1ccc(Br)o1)*;N(c1ccc2ccccc2c1);O=C(COC(=O)c1ccc(Br)o1)Nc1ccc2ccccc2c1
O=C(CC*)Nc1ccc(F)cc1;S(c1nnnn1-c1ccccc1);O=C(CCSc1nnnn1-c1ccccc1)Nc1ccc(F)cc1
C[NH+](C*)CC(=O)NC1(C#N)CCCC1;C(Oc1ccc(Cl)cc1);C[NH+](CCOc1ccc(Cl)cc1)CC(=O)NC1(C#N)CCCC1
CC[C@H](O)c1nc2ccccc2n1*;C(c1c(F)cccc1Cl);CC[C@H](O)c1nc2ccccc2n1Cc1c(F)cccc1Cl
COCCOc1ccc(Cl)cc1N*;C(=O)(c1ccc(F)cc1);COCCOc1ccc(Cl)cc1NC(=O)c1ccc(F)cc1
O=C(CCc1c[nH]c2ccccc12)*;N(c1ccc(C(F)(F)F)cc1);O=C(CCc1c[nH]c2ccccc12)Nc1ccc(C(F)(F)F)cc1
CC[C@@H]1CCCCN1C(=O)C*;O(C(=O)c1cnc(Cl)c(Cl)c1);CC[C@@H]1CCCCN1C(=O)COC(=O)c1cnc(Cl)c(Cl)c1
CCOC(=O)C[C@@H]1C(=O)NCC[NH+]1*;C(c1ccc(OC)cc1F);CCOC(=O)C[C@@H]1C(=O)NCC[NH+]1Cc1ccc(OC)cc1F
Cc1ccc(Cl)cc1NC(=O)C*;O(C(=O)c1c(F)cccc1F);Cc1ccc(Cl)cc1NC(=O)COC(=O)c1c(F)cccc1F
CCc1cccc(C)c1NC(=O)C*;O(c1ccc([C@@H](C)CC)cc1);CCc1cccc(C)c1NC(=O)COc1ccc([C@@H](C)CC)cc1
C[C@@H](Sc1nc2ccccc2s1)C(=O)*;N(C)(Cc1ccccc1);C[C@@H](Sc1nc2ccccc2s1)C(=O)N(C)Cc1ccccc1
C[C@@H](N*)C(=O)Nc1ccc(F)c(Cl)c1;S(=O)(=O)(c1ccccc1);C[C@@H](NS(=O)(=O)c1ccccc1)C(=O)Nc1ccc(F)c(Cl)c1
Cc1noc(C)c1C(=O)O*;C(C(=O)NCc1cccs1);Cc1noc(C)c1C(=O)OCC(=O)NCc1cccs1
O=C(Cn1c(=O)oc2ccccc12)*;N(c1ccc(C(=O)[O-])cc1);O=C(Cn1c(=O)oc2ccccc21)Nc1ccc(C(=O)[O-])cc1
C[C@H](Oc1ccc(-c2ccccc2)cc1)*;C(=O)(NC[C@H]1CCCO1);C[C@H](Oc1ccc(-c2ccccc2)cc1)C(=O)NC[C@H]1CCCO1
O=C(c1ccc(Cl)cc1)*;N(c1ccc(Cl)cc1F);O=C(Nc1ccc(Cl)cc1F)c1ccc(Cl)cc1
O=C(N*)OCc1ccccc1;C(C(=O)N1CCC[C@@H]1C(=O)[O-]);O=C(NCC(=O)N1CCC[C@@H]1C(=O)[O-])OCc1ccccc1
CSc1ncccc1C(=O)*;N([C@H](CC(C)C)C(=O)[O-]);CSc1ncccc1C(=O)N[C@H](CC(C)C)C(=O)[O-]
CCCC[C@@H](CC)CN*;C(=O)(c1cccc(F)c1);CCCC[C@@H](CC)CNC(=O)c1cccc(F)c1
O=C(N1CCc2cc(F)ccc21)*;C(Sc1nc2ccccc2[nH]1);O=C(CSc1nc2ccccc2[nH]1)N1CCc2cc(F)ccc21
CCC(=O)c1ccccc1*;N(C(=O)c1ccccc1Br);CCC(=O)c1ccccc1NC(=O)c1ccccc1Br
Cc1cc(I)ccc1NC(=O)CN*;C(=O)(OCc1ccccc1);Cc1cc(I)ccc1NC(=O)CNC(=O)OCc1ccccc1
C[C@@H](C(=O)Nc1ccc(Cl)cc1Cl)*;O(C(=O)c1ccccc1O);C[C@H](OC(=O)c1ccccc1O)C(=O)Nc1ccc(Cl)cc1Cl
C[C@H]1CCCC[C@@H]1NC(=O)CO*;C(=O)(c1ccc(F)cc1);C[C@H]1CCCC[C@@H]1NC(=O)COC(=O)c1ccc(F)cc1
COc1ccc(Cl)cc1NC(=O)[C@H](C)*;O(C(=O)C1CCCCC1);COc1ccc(Cl)cc1NC(=O)[C@H](C)OC(=O)C1CCCCC1
CCOc1ccccc1NC(=O)*;C(c1coc2ccc(C)cc12);CCOc1ccccc1NC(=O)Cc1coc2ccc(C)cc12
O=C(CC*)c1ccc(Cl)cc1;S(=O)(=O)(c1ccc(F)cc1);O=C(CCS(=O)(=O)c1ccc(F)cc1)c1ccc(Cl)cc1
COC(=O)c1cc(OC)c(OC)cc1*;N(C(=O)c1ccccc1Cl);COC(=O)c1cc(OC)c(OC)cc1NC(=O)c1ccccc1Cl
Cc1ccccc1NC(=O)C*;O(C(=O)CC1CCCC1);Cc1ccccc1NC(=O)COC(=O)CC1CCCC1
O=C(CC*)N1CCCC1;S(=O)(=O)(c1ccccc1);O=C(CCS(=O)(=O)c1ccccc1)N1CCCC1
O=C(C*)NCc1ccccc1;O(c1ccc(Cl)cc1Cl);O=C(COc1ccc(Cl)cc1Cl)NCc1ccccc1
O=S(=O)(N*)c1ccccc1;C(c1nc2ccccc2[nH]1);O=S(=O)(NCc1nc2ccccc2[nH]1)c1ccccc1
O=C(NCCCN*)c1cccnc1;C(=O)(c1ccccc1F);O=C(NCCCNC(=O)c1ccccc1F)c1cccnc1
C#CCOC(=O)c1ccccc1*;C(=O)(Nc1ccc(Cl)cc1);C#CCOC(=O)c1ccccc1C(=O)Nc1ccc(Cl)cc1
COc1ccccc1COC(=O)*;C(NC(=O)c1ccccc1);COc1ccccc1COC(=O)CNC(=O)c1ccccc1
COc1nc2ccccc2nc1[C@H](C#N)*;C(=O)(NC1CCCCC1);COc1nc2ccccc2nc1[C@H](C#N)C(=O)NC1CCCCC1
COc1cc(C)ccc1OCC*;C([NH+]1C[C@H](C)O[C@H](C)C1);COc1cc(C)ccc1OCCC[NH+]1C[C@H](C)O[C@H](C)C1
Cc1cc(Br)ccc1OC*;C(CC[NH+]1CCCCC1);Cc1cc(Br)ccc1OCCCC[NH+]1CCCCC1
COc1ccc2c(C)c(*)c(=O)oc2c1C;C(C(=O)N[C@@H](C)C(=O)[O-]);COc1ccc2c(C)c(CC(=O)N[C@@H](C)C(=O)[O-])c(=O)oc2c1C
O=C(COc1ccc(F)cc1)*;N(c1cc(Cl)ccc1Cl);O=C(COc1ccc(F)cc1)Nc1cc(Cl)ccc1Cl
CCN(C(=O)c1cnccn1)*;C([C@H]1COc2ccccc2O1);CCN(C[C@H]1COc2ccccc2O1)C(=O)c1cnccn1
Cc1cc(C)cc(NC(=O)*)c1;C([C@H]([NH2+]C[C@@H](C)O)C(=O)[O-]);Cc1cc(C)cc(NC(=O)C[C@H]([NH2+]C[C@@H](C)O)C(=O)[O-])c1
CC(=O)Oc1ccc(*)cc1;C(OC(C)=O)(OC(C)=O);CC(=O)Oc1ccc(C(OC(C)=O)OC(C)=O)cc1
COc1ccc(S(=O)(=O)N(C)C)cc1*;N(C(=O)c1ccc(F)cc1);COc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)c1ccc(F)cc1
C[C@H](Sc1nc2ccccc2o1)C(=O)N*;C(Cc1ccc(F)cc1);C[C@H](Sc1nc2ccccc2o1)C(=O)NCCc1ccc(F)cc1
CC(=O)c1ccc2c(c1)N(C*)C(=O)CO2;C(=O)(N1CCC(C)CC1);CC(=O)c1ccc2c(c1)N(CC(=O)N1CCC(C)CC1)C(=O)CO2
COc1ccc(Cl)cc1*;C(=O)(N1CCCC[C@@H]1C);COc1ccc(Cl)cc1C(=O)N1CCCC[C@@H]1C
C[C@H](N*)C(=O)NC(C)(C)C;S(=O)(=O)(c1ccc(Br)cc1);C[C@H](NS(=O)(=O)c1ccc(Br)cc1)C(=O)NC(C)(C)C
C[NH+](CC(C)(C)*)C1CCCCC1;N(S(=O)(=O)c1cccs1);C[NH+](CC(C)(C)NS(=O)(=O)c1cccs1)C1CCCCC1
C[C@@H](C[NH+]1CCCC1)OC(=O)*;C(Oc1ccc(Br)cc1);C[C@@H](C[NH+]1CCCC1)OC(=O)COc1ccc(Br)cc1
O=C(CO*)c1ccccc1Br;C(=O)([C@H]1C[C@@H]2C=C[C@H]1C2);O=C(COC(=O)[C@H]1C[C@@H]2C=C[C@H]1C2)c1ccccc1Br
CN(CC(=O)*)S(=O)(=O)c1ccc(Cl)cc1;N(CCC1=CCCCC1);CN(CC(=O)NCCC1=CCCCC1)S(=O)(=O)c1ccc(Cl)cc1
CN(C*)S(=O)(=O)c1ccccc1;C(=O)(NC1CCCCCC1);CN(CC(=O)NC1CCCCCC1)S(=O)(=O)c1ccccc1
CSc1nnc(N)n1CC(=O)*;N([C@@H](C)c1ccccc1);CSc1nnc(N)n1CC(=O)N[C@@H](C)c1ccccc1
C[C@H]1CCCC[C@H]1NC(=O)*;C(n1ccc2ccccc12);C[C@H]1CCCC[C@H]1NC(=O)Cn1ccc2ccccc21
CCc1cccc(C)c1N*;C(=O)(c1ccccc1C);CCc1cccc(C)c1NC(=O)c1ccccc1C
Cc1cc(I)ccc1NC(=O)C*;N(C(=O)OCc1ccccc1);Cc1cc(I)ccc1NC(=O)CNC(=O)OCc1ccccc1
Cc1cc(Cl)ccc1O*;C(C(=O)n1cnnc1N);Cc1cc(Cl)ccc1OCC(=O)n1cnnc1N
COc1ccccc1C*;C([NH2+]C1CCC(C)CC1);COc1ccccc1CC[NH2+]C1CCC(C)CC1
CCn1ncc(I)c1C(=O)*;N(c1ccc(Cl)cc1Cl);CCn1ncc(I)c1C(=O)Nc1ccc(Cl)cc1Cl
CS(=O)(=O)N(C*)c1ccccc1;C(=O)(NC[C@@H]1CCCO1);CS(=O)(=O)N(CC(=O)NC[C@@H]1CCCO1)c1ccccc1
CCOc1cc2c(cc1*)OCO2;C(/C=C/c1ccc(OC)cc1);CCOc1cc2c(cc1C/C=C/c1ccc(OC)cc1)OCO2
O=C(CNS(=O)(=O)c1ccccc1Br)*;N(Cc1ccc(F)cc1);O=C(CNS(=O)(=O)c1ccccc1Br)NCc1ccc(F)cc1
COc1ccccc1-n1nnnc1*;S(CC(=O)c1cccs1);COc1ccccc1-n1nnnc1SCC(=O)c1cccs1
CC(=O)c1ccccc1NC(=O)*;C(OC(=O)c1ccncc1);CC(=O)c1ccccc1NC(=O)COC(=O)c1ccncc1
COC(=O)c1ccc2c(c1)s/c(=N/*)n2C;C(=O)(c1ccc(C)cc1);COC(=O)c1ccc2c(c1)s/c(=N/C(=O)c1ccc(C)cc1)n2C
CS(=O)(=O)N(C*)c1ccccc1;C(=O)(NCCC1=CCCCC1);CS(=O)(=O)N(CC(=O)NCCC1=CCCCC1)c1ccccc1
O=S(=O)(/C=C/c1ccccc1)*;N(c1ccc2c(c1)OCO2);O=S(=O)(/C=C/c1ccccc1)Nc1ccc2c(c1)OCO2
NC(=O)c1c(-c2ccccc2)csc1N*;C(=O)(c1cccc(Br)c1);NC(=O)c1c(-c2ccccc2)csc1NC(=O)c1cccc(Br)c1
O=C(NCCC*)NC1CCCCC1;C(NC(=O)NC1CCCCC1);O=C(NCCCCNC(=O)NC1CCCCC1)NC1CCCCC1
C[C@@H](C(=O)N[C@@H]1C[C@H]2CC[C@@H]1C2)*;N(c1ccccc1)(S(C)(=O)=O);C[C@@H](C(=O)N[C@@H]1C[C@H]2CC[C@@H]1C2)N(c1ccccc1)S(C)(=O)=O
CCN(c1ccccc1C)*;C(=O)(COc1ccccc1);CCN(C(=O)COc1ccccc1)c1ccccc1C
COc1cc(C#N)ccc1*;O(Cc1cccc(I)c1);COc1cc(C#N)ccc1OCc1cccc(I)c1
C[C@@H](N*)c1ccc(F)cc1F;C(=O)(CSc1nncn1C);C[C@@H](NC(=O)CSc1nncn1C)c1ccc(F)cc1F
C[C@@H](CCc1ccccc1)*;N(C(=O)c1cccc(I)c1);C[C@@H](CCc1ccccc1)NC(=O)c1cccc(I)c1
O=C(CO*)c1ccccc1;C(=O)(c1ccccc1Cl);O=C(COC(=O)c1ccccc1Cl)c1ccccc1
C[C@@H](C(=O)N*)n1ncn2cccc2c1=O;C(Cc1ccc(Cl)cc1);C[C@@H](C(=O)NCCc1ccc(Cl)cc1)n1ncn2cccc2c1=O
O=C(C*)Nc1ccc(Cl)c(Cl)c1;S(c1nnc([O-])[nH]c1=O);O=C(CSc1nnc([O-])[nH]c1=O)Nc1ccc(Cl)c(Cl)c1
O=C([O-])c1cc(Cl)ccc1*;[S@@](=O)(c1ccccc1CO);O=C([O-])c1cc(Cl)ccc1[S@@](=O)c1ccccc1CO
C[NH2+]Cc1ccccc1*;O(Cc1ccc(C)cc1);C[NH2+]Cc1ccccc1OCc1ccc(C)cc1
O=C(CSc1ncccn1)*;N(c1cc(Cl)c(Cl)cc1Cl);O=C(CSc1ncccn1)Nc1cc(Cl)c(Cl)cc1Cl
CCc1cccc(C)c1N*;C(=O)(c1cccc(C)c1);CCc1cccc(C)c1NC(=O)c1cccc(C)c1
C[C@@H](C(=O)Nc1cccc(C#N)c1)*;O(C(=O)COc1ccccc1);C[C@H](OC(=O)COc1ccccc1)C(=O)Nc1cccc(C#N)c1
Cc1cc(Cl)ccc1OCC(=O)*;O(Cn1c(=O)sc2ccccc12);Cc1cc(Cl)ccc1OCC(=O)OCn1c(=O)sc2ccccc21
CC[C@@H](C)[C@@H](NC(N)=O)C(=O)N*;C(Cc1ccc(Cl)cc1);CC[C@@H](C)[C@@H](NC(N)=O)C(=O)NCCc1ccc(Cl)cc1
O=C(C*)NCc1cccs1;C(c1nc2ccccc2s1);O=C(CCc1nc2ccccc2s1)NCc1cccs1
O=C(COC(=O)c1ccccc1Cl)*;N(CCc1ccc(Cl)cc1);O=C(COC(=O)c1ccccc1Cl)NCCc1ccc(Cl)cc1
CCOC(=O)[C@H](C)NC(=O)[C@@H](C)*;O(c1ccc(Cl)cc1Cl);CCOC(=O)[C@H](C)NC(=O)[C@@H](C)Oc1ccc(Cl)cc1Cl
CS(=O)(=O)N(C*)c1ccc(F)cc1;C(=O)(Nc1ccccc1);CS(=O)(=O)N(CC(=O)Nc1ccccc1)c1ccc(F)cc1
O=C(C[NH2+]C[C@@H]1CCCO1)*;N(CCC1=CCCCC1);O=C(C[NH2+]C[C@@H]1CCCO1)NCCC1=CCCCC1
O=C(C*)Nc1ccccc1Cl;[S@@](=O)(c1ccc(F)cc1);O=C(C[S@@](=O)c1ccc(F)cc1)Nc1ccccc1Cl
O=C(C*)Nc1cc(Cl)c(Cl)cc1Cl;S(c1nc2c(c(=O)[nH]1)CCC2);O=C(CSc1nc2c(c(=O)[nH]1)CCC2)Nc1cc(Cl)c(Cl)cc1Cl
CC(C)C[C@@H](NC(=O)OC(C)(C)C)*;C(=O)(N1CCC[C@H]1C(N)=O);CC(C)C[C@@H](NC(=O)OC(C)(C)C)C(=O)N1CCC[C@H]1C(N)=O
O=C(NCc1ccccc1)*;C(CCCc1cccs1);O=C(CCCCc1cccs1)NCc1ccccc1
CC(C)(N*)c1ccncc1;S(=O)(=O)(c1ccccc1Cl);CC(C)(NS(=O)(=O)c1ccccc1Cl)c1ccncc1
Cc1sc2ncnc(SC*)c2c1C;C(=O)(N(C(C)C)C(C)C);Cc1sc2ncnc(SCC(=O)N(C(C)C)C(C)C)c2c1C
O=C(Cc1cccc(C(F)(F)F)c1)O*;C(C(=O)c1ccc(Br)cc1);O=C(Cc1cccc(C(F)(F)F)c1)OCC(=O)c1ccc(Br)cc1
C[C@H](C(=O)*)n1sc2ccccc2c1=O;N(Cc1cccc(F)c1);C[C@H](C(=O)NCc1cccc(F)c1)n1sc2ccccc2c1=O
CCc1cccc(C)c1NC(=O)C*;C(S(=O)(=O)c1ccc(Cl)cc1);CCc1cccc(C)c1NC(=O)CCS(=O)(=O)c1ccc(Cl)cc1
COC(=O)[C@H](NC(=O)[C@H](C)N*)C(C)C;C(=O)(c1ccc(Cl)cc1);COC(=O)[C@H](NC(=O)[C@H](C)NC(=O)c1ccc(Cl)cc1)C(C)C
COC(=O)c1ccccc1N*;C(=O)(c1onc(C)c1Cl);COC(=O)c1ccccc1NC(=O)c1onc(C)c1Cl
COc1cc(C#N)ccc1OCC(=O)*;N(CCC1=CCCCC1);COc1cc(C#N)ccc1OCC(=O)NCCC1=CCCCC1
CCOC(=O)/C=C(/C)N*;C(=O)(c1ccccc1F);CCOC(=O)/C=C(/C)NC(=O)c1ccccc1F
CC(C)(C)c1ccccc1O*;C(C(=O)NCCC(=O)[O-]);CC(C)(C)c1ccccc1OCC(=O)NCCC(=O)[O-]
C[C@H](O)[C@@H](c1ccccc1)*;N(C(=O)c1ccccc1);C[C@H](O)[C@H](NC(=O)c1ccccc1)c1ccccc1
O=C(c1ccccc1O)*;N(c1ccc(F)c(Cl)c1);O=C(Nc1ccc(F)c(Cl)c1)c1ccccc1O
O=C(Nc1ccccc1N1CCCC1)*;C(Oc1ccc(Cl)cc1Cl);O=C(COc1ccc(Cl)cc1Cl)Nc1ccccc1N1CCCC1
CCOc1ncccc1C(=O)N*;C(Cc1c[nH]c2ccccc12);CCOc1ncccc1C(=O)NCCc1c[nH]c2ccccc12
COc1cc(SC)ccc1*;C(=O)(Nc1ncc(C)s1);COc1cc(SC)ccc1C(=O)Nc1ncc(C)s1
C[C@H](CCc1ccccc1)N*;C(=O)(COc1ccc(I)cc1);C[C@H](CCc1ccccc1)NC(=O)COc1ccc(I)cc1
CC(C)n1nccc1NC(=O)[C@@H](C)*;O(c1ccc(Cl)cc1Cl);CC(C)n1nccc1NC(=O)[C@@H](C)Oc1ccc(Cl)cc1Cl
COc1ccc(Cl)cc1C[NH2+]*;C(CSc1nnnn1C);COc1ccc(Cl)cc1C[NH2+]CCSc1nnnn1C
C[C@H]1Cc2ccccc2N1*;C(=O)(C[NH2+]CCC[NH+](C)C);C[C@H]1Cc2ccccc2N1C(=O)C[NH2+]CCC[NH+](C)C
C[NH2+]Cc1cccc(OC)c1*;O(Cc1ccc(F)cc1);C[NH2+]Cc1cccc(OC)c1OCc1ccc(F)cc1
CC(C)(C)c1ccccc1O*;C([C@H](O)C[NH+]1CCCC1);CC(C)(C)c1ccccc1OC[C@H](O)C[NH+]1CCCC1
CN(C(=O)c1ccc(C#N)cc1)*;C(COc1ccc(Cl)cc1);CN(CCOc1ccc(Cl)cc1)C(=O)c1ccc(C#N)cc1
C[C@H]1CCCC[C@@H]1NC(=O)CO*;C(=O)(c1ccc(N(C)C)cc1);C[C@H]1CCCC[C@@H]1NC(=O)COC(=O)c1ccc(N(C)C)cc1
O=C(CCN*)Nc1nccs1;C(=O)(c1ccccc1Cl);O=C(CCNC(=O)c1ccccc1Cl)Nc1nccs1
CCSc1nc(C)cc(C)c1*;S(=O)(=O)(c1ccccc1C);CCSc1nc(C)cc(C)c1S(=O)(=O)c1ccccc1C
CCCC[C@H](c1ccccc1)*;N(C(=O)c1ccccc1);CCCC[C@@H](NC(=O)c1ccccc1)c1ccccc1
Cc1ccc(O*)c(Cl)c1;C(CCC[NH2+]C(C)(C)C);Cc1ccc(OCCCC[NH2+]C(C)(C)C)c(Cl)c1
Cc1ccc(-c2nnc(*)n2N)cc1;S(CC(=O)NCC(C)C);Cc1ccc(-c2nnc(SCC(=O)NCC(C)C)n2N)cc1
O=C(Nc1cccc(Cl)c1Cl)*;C(N1CCCc2ccccc21);O=C(CN1CCCc2ccccc21)Nc1cccc(Cl)c1Cl
O=c1c2ccccc2nnn1*;C(c1ccc(Cl)c(Cl)c1);O=c1c2ccccc2nnn1Cc1ccc(Cl)c(Cl)c1
C[C@@H](N*)c1ccc(Br)cc1;C(=O)(c1ccc(Cl)cc1);C[C@@H](NC(=O)c1ccc(Cl)cc1)c1ccc(Br)cc1
O=C(CCCSc1ccccc1)*;N(c1cccc2ncccc12);O=C(CCCSc1ccccc1)Nc1cccc2ncccc12
O=C(COC(=O)C1CC1)*;N(c1ccc(Cl)cc1Cl);O=C(COC(=O)C1CC1)Nc1ccc(Cl)cc1Cl
CCN(Cc1ccccc1)*;S(=O)(=O)(Cc1ccccc1);CCN(Cc1ccccc1)S(=O)(=O)Cc1ccccc1
C[C@H](C(=O)N(C)c1ccccc1)*;O(C(=O)c1cc2ccccc2[nH]1);C[C@@H](OC(=O)c1cc2ccccc2[nH]1)C(=O)N(C)c1ccccc1
COc1c(Cl)ccc(Cl)c1*;C(=O)(Nc1cccc(Br)c1);COc1c(Cl)ccc(Cl)c1C(=O)Nc1cccc(Br)c1
C=CCc1ccccc1OC*;C(=O)(Oc1ccccc1);C=CCc1ccccc1OCC(=O)Oc1ccccc1
C[C@@](C#N)(NC(=O)C*)C1CC1;S(c1nc2cc(Cl)ccc2s1);C[C@@](C#N)(NC(=O)CSc1nc2cc(Cl)ccc2s1)C1CC1
CCc1noc(C)c1C(=O)OC*;C(=O)(N[C@@H](C)c1ccccc1);CCc1noc(C)c1C(=O)OCC(=O)N[C@@H](C)c1ccccc1
CCc1cccc(C)c1N*;C(=O)(c1ccccc1I);CCc1cccc(C)c1NC(=O)c1ccccc1I
Cc1c(C#N)c2ccccc2n1C*;C(Oc1ccc(Cl)cc1);Cc1c(C#N)c2ccccc2n1CCOc1ccc(Cl)cc1
C[C@H](C(=O)NC1(C#N)CCCCC1)*;S(c1ccc2ccccc2n1);C[C@@H](Sc1ccc2ccccc2n1)C(=O)NC1(C#N)CCCCC1
CC(=O)c1ccccc1NC(=O)*;C(Oc1ccccc1Br);CC(=O)c1ccccc1NC(=O)COc1ccccc1Br
O=C(Nc1cc(Cl)ccc1Cl)*;C(Oc1ccc(Br)cc1);O=C(COc1ccc(Br)cc1)Nc1cc(Cl)ccc1Cl
CSc1ncccc1C(=O)*;N(Cc1ccc(C)cc1);CSc1ncccc1C(=O)NCc1ccc(C)cc1
CC(C)C[C@H](NC(=O)*)C(=O)[O-];N(Cc1ccc(F)cc1);CC(C)C[C@H](NC(=O)NCc1ccc(F)cc1)C(=O)[O-]
COc1ccccc1C(=O)*;N(c1cccc(C)c1C);COc1ccccc1C(=O)Nc1cccc(C)c1C
O=C(Nc1cccc(F)c1)*;C(NC(=O)c1ccccc1);O=C(CNC(=O)c1ccccc1)Nc1cccc(F)c1
Nc1nc(-c2ccco2)nn1*;C(=O)(c1ccccc1Cl);Nc1nc(-c2ccco2)nn1C(=O)c1ccccc1Cl
COc1ccccc1NC(=O)*;C(Oc1ccc(C(C)C)cc1);COc1ccccc1NC(=O)COc1ccc(C(C)C)cc1
COc1ccc(C)cc1NC(=O)C*;O(c1cccc2ccccc12);COc1ccc(C)cc1NC(=O)COc1cccc2ccccc12
O=C(Nc1c(F)cccc1F)*;C(CSc1ccccc1);O=C(CCSc1ccccc1)Nc1c(F)cccc1F
Nc1ccccc1C(=O)*;N(c1ccc(Cl)c(Cl)c1);Nc1ccccc1C(=O)Nc1ccc(Cl)c(Cl)c1
COc1cc(Cl)c(C)cc1N*;C(=O)(COc1ccccc1);COc1cc(Cl)c(C)cc1NC(=O)COc1ccccc1
C[C@@H](Cn1cc(Br)cn1)C(=O)*;N(c1ccc(C(=O)[O-])cc1);C[C@@H](Cn1cc(Br)cn1)C(=O)Nc1ccc(C(=O)[O-])cc1
O=C(c1cncc(Br)c1)*;N(c1ccc(F)c(Cl)c1);O=C(Nc1ccc(F)c(Cl)c1)c1cncc(Br)c1
O=C(C[NH+]1CCCCCCC1)*;N([C@H]1CCCc2ccccc21);O=C(C[NH+]1CCCCCCC1)N[C@H]1CCCc2ccccc21
N#Cc1ccsc1NC(=O)*;C(Sc1cccc(Cl)c1);N#Cc1ccsc1NC(=O)CSc1cccc(Cl)c1
O=C(C*)Nc1ccc2ccccc2c1;O(c1ncnc2sccc12);O=C(COc1ncnc2sccc12)Nc1ccc2ccccc2c1
CC(C)(CC(=O)[O-])CC(=O)*;N(c1ccc(Cl)cc1Cl);CC(C)(CC(=O)[O-])CC(=O)Nc1ccc(Cl)cc1Cl
O=C(NCc1ccccn1)*;N(c1ccc(F)c(Cl)c1);O=C(NCc1ccccn1)Nc1ccc(F)c(Cl)c1
O=C(N[C@@H]1CCCc2ccccc21)*;C(Sc1ccccc1F);O=C(CSc1ccccc1F)N[C@@H]1CCCc2ccccc21
C[C@@H](C(=O)Nc1ccc(Cl)cn1)*;S(c1nnc2ccccn12);C[C@H](Sc1nnc2ccccn12)C(=O)Nc1ccc(Cl)cn1
C[C@H](NC(=O)C*)c1ccc(Cl)cc1;S(c1nnc2n1CCCCC2);C[C@H](NC(=O)CSc1nnc2n1CCCCC2)c1ccc(Cl)cc1
Nc1nonc1C(=O)NCC*;N(C(=O)c1ccc(Cl)cc1);Nc1nonc1C(=O)NCCNC(=O)c1ccc(Cl)cc1
O=C(COc1ccc(Br)cc1CO)*;N(Cc1ccc2c(c1)OCO2);O=C(COc1ccc(Br)cc1CO)NCc1ccc2c(c1)OCO2
C[C@@H]1CCCC[C@H]1NC(=O)CO*;C(=O)(c1ccccc1F);C[C@@H]1CCCC[C@H]1NC(=O)COC(=O)c1ccccc1F
COc1ccccc1CN(C)C(=O)C*;N(C(=O)c1cccc(Cl)c1);COc1ccccc1CN(C)C(=O)CNC(=O)c1cccc(Cl)c1
Cc1[nH]n(-c2ccccc2)c(=O)c1*;S(=O)(=O)(c1ccccc1);Cc1[nH]n(-c2ccccc2)c(=O)c1S(=O)(=O)c1ccccc1
O=C(c1c[nH]c2ccccc12)*;C(Oc1ccc(F)cc1Br);O=C(COc1ccc(F)cc1Br)c1c[nH]c2ccccc12
O=C(Nc1cc(Cl)ccc1Cl)*;N(c1nc2ccccc2s1);O=C(Nc1nc2ccccc2s1)Nc1cc(Cl)ccc1Cl
O=C(Nc1ccc(Cl)cn1)*;C(n1cnc2ccccc12);O=C(Cn1cnc2ccccc21)Nc1ccc(Cl)cn1
O=S(=O)(c1ccccc1)*;O(c1ccccc1CO);O=S(=O)(Oc1ccccc1CO)c1ccccc1
O=C([C@@H]1COc2ccccc2O1)*;O(CC[NH+]1CCCCC1);O=C(OCC[NH+]1CCCCC1)[C@@H]1COc2ccccc2O1
[NH2+]=c1oc2cc(O)ccc2cc1*;C(=O)(Nc1cc(Cl)ccc1Cl);[NH2+]=c1oc2cc(O)ccc2cc1C(=O)Nc1cc(Cl)ccc1Cl
COc1ccccc1CNC(=O)CO*;C(=O)(c1cccc(Cl)c1);COc1ccccc1CNC(=O)COC(=O)c1cccc(Cl)c1
C[C@@H](CCc1ccccc1)N*;S(=O)(=O)(c1cccc(C#N)c1);C[C@@H](CCc1ccccc1)NS(=O)(=O)c1cccc(C#N)c1
COC(=O)[C@@H](Cc1ccccc1)N*;C(=O)(c1ccc(F)cc1);COC(=O)[C@@H](Cc1ccccc1)NC(=O)c1ccc(F)cc1
O=C(C*)NCCc1ccc(F)cc1;O(n1nnc2ccc(Cl)cc12);O=C(COn1nnc2ccc(Cl)cc21)NCCc1ccc(F)cc1
O=C(Cc1c[nH]c2ccccc12)*;N(Cc1ccccc1F);O=C(Cc1c[nH]c2ccccc12)NCc1ccccc1F
